year_month,season,total_decedents,male,female
2007-03,Spring,3,2,1
2007-04,Spring,1,1,0
2007-05,Spring,2,2,0
2007-06,Summer,3,3,0
2007-07,Summer,2,2,0
2007-08,Summer,2,2,0
2007-09,Autumn,2,2,0
2007-10,Autumn,3,2,1
2007-11,Autumn,1,1,0
2007-12,Winter,2,2,0
2008-01,Winter,3,2,1
2008-02,Winter,4,3,1
2008-03,Spring,1,0,1
2008-04,Spring,0,0,0
2008-05,Spring,0,0,0
2008-06,Summer,6,4,2
2008-07,Summer,6,5,1
2008-08,Summer,2,2,0
2008-09,Autumn,1,0,1
2008-10,Autumn,1,1,0
2008-11,Autumn,1,1,0
2008-12,Winter,1,1,0
2009-01,Winter,1,1,0
2009-02,Winter,3,2,1
2009-03,Spring,1,1,0
2009-04,Spring,1,1,0
2009-05,Spring,1,1,0
2009-06,Summer,1,1,0
2009-07,Summer,0,0,0
2009-08,Summer,0,0,0
2009-09,Autumn,2,1,1
2009-10,Autumn,3,3,0
2009-11,Autumn,2,2,0
2009-12,Winter,1,1,0
2010-01,Winter,1,0,1
2010-02,Winter,1,1,0
2010-03,Spring,0,0,0
2010-04,Spring,0,0,0
2010-05,Spring,1,1,0
2010-06,Summer,3,1,2
2010-07,Summer,2,1,1
2010-08,Summer,2,1,1
2010-09,Autumn,0,0,0
2010-10,Autumn,2,1,1
2010-11,Autumn,4,1,3
2010-12,Winter,5,4,1
2011-01,Winter,1,0,1
2011-02,Winter,2,1,1
2011-03,Spring,2,1,1
2011-04,Spring,0,0,0
2011-05,Spring,4,4,0
2011-06,Summer,2,1,1
2011-07,Summer,0,0,0
2011-08,Summer,1,1,0
2011-09,Autumn,2,2,0
2011-10,Autumn,0,0,0
2011-11,Autumn,2,2,0
2011-12,Winter,5,3,2
2012-01,Winter,2,2,0
2012-02,Winter,2,2,0
2012-03,Spring,1,1,0
2012-04,Spring,4,4,0
2012-05,Spring,1,1,0
2012-06,Summer,0,0,0
2012-07,Summer,3,3,0
2012-08,Summer,0,0,0
2012-09,Autumn,1,1,0
2012-10,Autumn,2,2,0
2012-11,Autumn,0,0,0
2012-12,Winter,2,2,0
2013-01,Winter,2,1,1
2013-02,Winter,0,0,0
2013-03,Spring,0,0,0
2013-04,Spring,3,2,1
2013-05,Spring,2,2,0
2013-06,Summer,1,1,0
2013-07,Summer,2,2,0
2013-08,Summer,1,0,1
2013-09,Autumn,0,0,0
2013-10,Autumn,2,2,0
2013-11,Autumn,0,0,0
2013-12,Winter,3,3,0
2014-01,Winter,2,2,0
2014-02,Winter,3,2,1
2014-03,Spring,3,3,0
2014-04,Spring,3,3,0
2014-05,Spring,1,1,0
2014-06,Summer,2,2,0
2014-07,Summer,4,3,1
2014-08,Summer,3,3,0
2014-09,Autumn,5,4,1
2014-10,Autumn,0,0,0
2014-11,Autumn,1,1,0
2014-12,Winter,3,2,1
2015-01,Winter,7,6,1
2015-02,Winter,4,4,0
2015-03,Spring,5,5,0
2015-04,Spring,5,4,1
2015-05,Spring,2,2,0
2015-06,Summer,6,6,0
2015-07,Summer,4,4,0
2015-08,Summer,3,2,1
2015-09,Autumn,1,1,0
2015-10,Autumn,5,5,0
2015-11,Autumn,1,1,0
2015-12,Winter,2,1,1
2016-01,Winter,3,2,1
2016-02,Winter,3,2,1
2016-03,Spring,4,3,1
2016-04,Spring,6,5,1
2016-05,Spring,5,4,1
2016-06,Summer,1,1,0
2016-07,Summer,1,1,0
2016-08,Summer,3,3,0
2016-09,Autumn,0,0,0
2016-10,Autumn,1,1,0
2016-11,Autumn,3,2,1
2016-12,Winter,3,3,0
2017-01,Winter,4,3,1
2017-02,Winter,3,2,1
2017-03,Spring,3,3,0
2017-04,Spring,4,2,2
2017-05,Spring,2,2,0
2017-06,Summer,4,4,0
2017-07,Summer,1,0,1
2017-08,Summer,3,3,0
2017-09,Autumn,4,2,2
2017-10,Autumn,1,0,1
2017-11,Autumn,4,2,2
2017-12,Winter,2,0,2
2018-01,Winter,4,4,0
2018-02,Winter,4,3,1
2018-03,Spring,1,0,1
2018-04,Spring,2,2,0
2018-05,Spring,1,1,0
2018-06,Summer,3,3,0
2018-07,Summer,2,1,1
2018-08,Summer,3,3,0
2018-09,Autumn,0,0,0
2018-10,Autumn,2,2,0
2018-11,Autumn,3,3,0
2018-12,Winter,1,1,0
2019-01,Winter,5,4,1
2019-02,Winter,3,3,0
2019-03,Spring,4,2,2
2019-04,Spring,9,6,3
2019-05,Spring,6,6,0
2019-06,Summer,0,0,0
2019-07,Summer,3,2,1
2019-08,Summer,1,1,0
2019-09,Autumn,2,2,0
2019-10,Autumn,6,6,0
2019-11,Autumn,6,4,2
2019-12,Winter,3,2,1
2020-01,Winter,7,4,3
2020-02,Winter,6,5,1
2020-03,Spring,1,1,0
2020-04,Spring,2,2,0
2020-05,Spring,8,6,2
2020-06,Summer,4,2,2
2020-07,Summer,13,8,5
2020-08,Summer,6,6,0
2020-09,Autumn,3,2,1
2020-10,Autumn,3,2,1
2020-11,Autumn,9,7,2
2020-12,Winter,11,9,2
2021-01,Winter,11,6,5
2021-02,Winter,6,6,0
2021-03,Spring,11,7,4
2021-04,Spring,7,5,2
2021-05,Spring,13,8,5
2021-06,Summer,6,4,2
2021-07,Summer,10,7,3
2021-08,Summer,16,15,1
2021-09,Autumn,12,9,3
2021-10,Autumn,19,16,3
2021-11,Autumn,10,8,2
2021-12,Winter,6,5,1
2022-01,Winter,14,10,4
2022-02,Winter,9,7,2
2022-03,Spring,3,3,0
2022-04,Spring,11,9,2
2022-05,Spring,12,11,1
2022-06,Summer,10,5,5
2022-07,Summer,8,5,3
2022-08,Summer,5,2,3
2022-09,Autumn,9,6,3
2022-10,Autumn,8,7,1
2022-11,Autumn,14,10,4
2022-12,Winter,7,6,1
2023-01,Winter,12,10,2
2023-02,Winter,10,9,1
2023-03,Spring,10,10,0
2023-04,Spring,6,6,0
2023-05,Spring,7,5,2
2023-06,Summer,8,8,0
2023-07,Summer,8,7,1
2023-08,Summer,3,2,1
2023-09,Autumn,7,7,0
2023-10,Autumn,4,3,1
2023-11,Autumn,9,5,4
2023-12,Winter,6,6,0
2024-01,Winter,11,7,4
2024-02,Winter,8,8,0
